Country,Code,Year,Population,Total_Death_Rate,,
Norway,NOR,2019,5347896,26992,504.721857,
Oman,OMN,2019,4602768,14256,309.7266688,
Pakistan,PAK,2019,223293280,1375527,616.0180906,
Palau,PLW,2019,17916,237,1322.83992,
Panama,PAN,2019,4232532,15185,358.7686992,
Papua New Guinea,PNG,2019,9542486,66942,701.5153074,
Paraguay,PRY,2019,6530026,32784,502.0500684,
Peru,PER,2019,32824861,95593,291.2213398,
Philippines,PHL,2019,110380804,661704,599.4737998,
Poland,POL,2019,37965475,460603,1213.215428,
Portugal,PRT,2019,10286263,85563,831.8181248,
Puerto Rico,PRI,2019,3193694,28480,891.7573193,
Qatar,QAT,2019,2807235,4788,170.559287,
Romania,ROU,2019,19371648,324945,1677.425689,
Rwanda,RWA,2019,12835028,51184,398.7837035,
Samoa,WSM,2019,211905,1861,878.2237323,
San Marino,SMR,2019,34178,215,629.059629,
Sao Tome and Principe,STP,2019,214599,883,411.4651047,
Saudi Arabia,SAU,2019,35827362,154143,430.2382073,
Senegal,SEN,2019,16000781,67119,419.4732745,
Serbia,SRB,2019,6945235,168706,2429.089872,
Seychelles,SYC,2019,97625,740,758.0025608,
Sierra Leone,SLE,2019,8046828,41403,514.5257237,
Singapore,SGP,2019,5703569,16423,287.9425146,
Slovenia,SVN,2019,2088385,18849,902.5634641,
Solomon Islands,SLB,2019,674993,8419,1247.272194,
Somalia,SOM,2019,15981300,109541,685.4323491,
South Africa,ZAF,2019,58087055,346018,595.6886608,
South Sudan,SSD,2019,10447666,39825,381.185616,
Spain,ESP,2019,47134837,319980,678.8609452,
Sri Lanka,LKA,2019,21803000,147936,678.5121314,
Sudan,SDN,2019,43232093,220694,510.4865036,
Suriname,SUR,2019,600301,4240,706.3123333,
Sweden,SWE,2019,10278887,73216,712.2950179,
Switzerland,CHE,2019,8575280,53783,627.1865175,
Tajikistan,TJK,2019,9337003,58568,627.2676575,
Tanzania,TZA,2019,59872579,243035,405.9203797,
Thailand,THA,2019,71307763,430315,603.4616455,
Togo,TGO,2019,8243094,37193,451.2019395,
Tonga,TON,2019,104951,735,700.3268192,
Trinidad and Tobago,TTO,2019,1519955,14279,939.435707,
Tunisia,TUN,2019,12049314,85516,709.7167523,
Turkmenistan,TKM,2019,6158420,46117,748.8446712,
Tuvalu,TUV,2019,10956,124,1131.799927,
Uganda,UGA,2019,42949080,136163,317.0335663,
Ukraine,UKR,2019,44386203,856572,1929.815893,
United Arab Emirates,ARE,2019,9211657,34788,377.6519252,
United Kingdom,GBR,2019,66836327,481831,720.9118478,
United States,USA,2019,328329953,2549358,776.4622072,
Uruguay,URY,2019,3428409,25129,732.9638908,
Uzbekistan,UZB,2019,33580350,290223,864.2643689,
Vanuatu,VUT,2019,304404,2975,977.3196147,
Vietnam,VNM,2019,95776716,706638,737.7972742,
World,OWID_WRL,2019,7742682218,56238894,726.3489888,
Zambia,ZMB,2019,18380477,72280,393.243331,
Zimbabwe,ZWE,2019,15354608,81732,532.2962332,
