Country,Code,Year,Population,Total_death_rate_per_100k
Seychelles,SYC,2019,97625,802.6742693
Sierra Leone,SLE,2019,8046828,9.499402512
Singapore,SGP,2019,5703569,5.122545884
Slovenia,SVN,2019,2088385,43.41085149
Solomon Islands,SLB,2019,674993,195.9546815
Somalia,SOM,2019,15981300,7.216507165
South Africa,ZAF,2019,58087055,1.544782548
South Sudan,SSD,2019,10447666,6.547921301
Spain,ESP,2019,47134837,1.452036895
Sri Lanka,LKA,2019,21803000,3.162163035
Sudan,SDN,2019,43232093,1.38988803
Suriname,SUR,2019,600301,126.2344241
Sweden,SWE,2019,10278887,6.980988918
Switzerland,CHE,2019,8575280,7.375628613
Tajikistan,TJK,2019,9337003,7.332103113
Tanzania,TZA,2019,59872579,0.969574878
Thailand,THA,2019,71307763,0.892784892
Togo,TGO,2019,8243094,8.294652294
Tonga,TON,2019,104951,690.8941172
Trinidad and Tobago,TTO,2019,1519955,63.72434096
Tunisia,TUN,2019,12049314,5.976128497
Turkmenistan,TKM,2019,6158420,12.62506649
Tuvalu,TUV,2019,10956,10663.65099
Uganda,UGA,2019,42949080,1.132588862
Ukraine,UKR,2019,44386203,4.38244076
United Arab Emirates,ARE,2019,9211657,4.129415471
United Kingdom,GBR,2019,66836327,1.087404774
United States,USA,2019,328329953,0.239421673
Uruguay,URY,2019,3428409,21.93808553
Uzbekistan,UZB,2019,33580350,2.670001286
Vanuatu,VUT,2019,304404,341.8884765
Vietnam,VNM,2019,95776716,0.789395884
World,OWID_WRL,2019,7742682218,0.010277996
Zambia,ZMB,2019,18380477,3.448121385
Zimbabwe,ZWE,2019,15354608,5.190784294
